0
0-0
0-0-0
0-10-0
0-10-2
0-100
0-12-0
0-2-2
0-4-0
0-4-2
0-4-4
0-4-4-0
0-4-4-2
0-6-0
0-6-2
0-6-4
0-6-6-0
0-60
0-60-0
0-8-0
0-8-2
0-8-4
0-8-8-0
0-dark-hundred
0-dark-thirty
0-G
000
007
007 knife
00s
0800 number
0G
0th
0th week
0TLP
1
1 Chr
1 Chronicles
1 Cor
1 Corinthians
1 gauge
1 Jn
1 John
1 KG
1 Kgs
1 Kings
1 Maccabees
1 Peter
1 Samuel
1 Sussex Drive
1 Thessalonians
1 Timothy
1-1-8
1-2-3
1-2-3 block
1-555
1-800
1-900
1-976
1-a
1-A
1-A-O
1-aj
1-ajn
1-an
1-C
1-connected
1-D
1-D RCM
1-G
1-H
1-methyl-4-phenylpyridinium
1-O
1-on-1
1-propanol
1-up
10
10 Downing Street
10-20
10-20s
10-4
10-bagger
10-day measles
10-foot user interface
10-undecenoic acid
100 meter dash
100 metres
100 percent
100-meter dash
100-year flood
1000 meter
1000 metre
1000 metres
1000-metre
10000 meters
10000 metres
1000th
100s
100th
101
101st
1024th note
1031 exchange
1040
1040-NR
105
1080
109
1095
1099
10BASE2
10BASE5
10K
10s
10th
10th grader
10x
10x developer
10Xer
11
11 Bang-Bang
11 Downing Street
11-plus examination
11-S
110
110 proof
110s
111
112
119
11B
11S
11th
11th commandment
11th Commandment
11th grader
11th hour
12
12-crown-4
12-foot
12-hour clock
12-ounce curls
120-cell
120s
121
125
1260
128th note
12ga
12mo
12th
12th grader
1370s
1380s
1390s
13er
13th
13th Gen
13th grade
13th grader
13th month
14
14-18
14-18 war
1440
147
14er
14K
14th
15 megabytes of fame
15 minutes
15 minutes of fame
15 minutes of shame
15 puzzle
15-crown-5
15-minute city
1500 metres
15th
16
16-cell
1600 Pennsylvania Avenue
1620
163rd game
16mo
16th
16ᵗʰ
16th note
1700s
1710s
1720s
1730s
1740s
1750s
175er
1760s
1770s
1780s
1790s
17th
18
18 holes
18-crown-6
18-wheeler
18-yard box
18-yard line
180
180-degree rule
1800
1800s
1810s
1820s
1830s
1840s
1850s
1860s
18650
187
1870s
1880s
1890s
18C
18mo
18th
19
1900s
190s
1910s
1920s
1930s
1940s
1950s
1960s
1970s
1980
1980s
1984
1984-esque
1984-ish
1990s
1992
19th
1a
1A
1aj
1ajn
1an
1ANCP
1ASES
1AVSS
1B
1B1T
1BH
1CC
1Co-Co1
1D
1d
1der
1Der
1derful
1DRCM
1drfl
1EAX
1FR
1G
1GL
1H4
1H6
1L
1LC
1LT
1MM
1MMS
1NCP
1NF
1O
1OT
1PP
1st
1st grade
1st grader
1stly
1v1
2
2 Chr
2 Chronicles
2 Corinthians
2 CV
2 gauge
2 John
2 Kgs
2 Kings
2 L
2 Maccabees
2 Peter
2 Samuel
2 Thessalonians
2 Timothy
2 Tone
2-1 road
2-10-0
2-10-10-2
2-10-2
2-10-4
2-12-0
2-12-2
2-12-4
2-2-0
2-2-2
2-2-4
2-3 tree
2-3-4 tree
2-4 tree
2-4-0
2-4-2
2-4-4
2-4-4-2
2-4-6 block
2-6-0
2-6-2
2-6-4
2-6-6
2-6-6-0
2-6-6-2
2-6-6-4
2-6-6-6
2-6-8-0
2-8-0
2-8-2
2-8-4
2-8-6
2-8-8-0
2-8-8-2
2-8-8-4
2-8-8-8-2
2-8-8-8-4
2-a
2-AP
2-butanone
2-D
2-IC
2-in-1
2-methyl-2-propenoic acid
2-methylbutane
2-methylpropane
2-SAT
2-step garage
2-up
20-80 rule
20-something
200 meters
200 metres
2000s
200step
201
2010s
2020s
2030s
2040s
2048th note
2050s
2060s
2070s
2080s
2090s
20K
20s
20th
212
213
2160
2160s
2170
21700
21st
22
224
22nd
23 skidoo
23 Skidoo Street
23rd
24 Sussex
24 Sussex Drive
24-7
24-cell
24-hour clock
24-hour flu
24mo
24th
25-NB
25I-NBOMe
25th
26
26th
27 Club
27th
28th
29er
29th
2a
2A
2AP
2B
2C-B
2channeler
2CV
2D
2d party
2day
2dly
2ᵈˡʸ
2e
2faced
2gether
2GL
2H
2IC
2L
2morrow
2mrw
2nd
2nd grader
2nd party
2ndly
2NF
2night
2nite
2OT
2ry
2S
2SAT
2SLS
2WD
2wd
2WW
